player,position,team,birth_year,minutes,goals,assists,offsides,crosses,interceptions,tackles_won,pens_conceded,ball_recoveries,aerials_won,aerials_lost
Juan Pablo Vargas,DF,Costa Rica,1995,90,1,0,0,0,2,3,0,5,1,0
Jude Bellingham,MF,England,2003,414,1,1,0,4,5,15,0,31,6,9
Jules Koundé,DF,France,1998,480,0,0,0,2,5,8,0,25,5,8
Julián Álvarez,FW,Argentina,2000,464,4,0,5,3,0,2,0,21,2,10
Jung Woo-young,MF,Korea Republic,1989,303,0,0,0,1,3,4,1,24,6,2
Junior Hoilett,FW,Canada,1990,161,0,0,1,13,1,4,0,8,0,0
Junya Ito,MF,Japan,1993,324,0,1,1,14,5,4,0,17,3,6
Jurriën Timber,DF,Netherlands,2001,390,0,0,0,1,10,6,0,30,4,3
Kai Havertz,FW,Germany,1999,102,2,0,3,2,1,1,0,3,0,2
Kalidou Koulibaly,DF,Senegal,1991,360,1,0,0,0,2,9,0,28,11,5
Kalvin Phillips,MF,England,1995,42,0,1,0,0,0,0,0,1,0,2
Kamal Miller,DF,Canada,1997,270,0,0,0,0,4,4,0,14,7,5
Kamaldeen Sulemana,FW,Ghana,2002,58,0,0,0,4,0,0,0,0,2,1
Kamil Glik,DF,Poland,1988,360,0,0,0,0,3,1,0,11,4,3
Kamil Grosicki,MF,Poland,1988,4,0,0,0,3,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,1997,165,0,1,0,0,2,2,0,17,2,3
Karim Ansarifard,FW,IR Iran,1990,35,0,0,1,0,1,0,0,0,0,1
Karim Boudiaf,MF,Qatar,1990,185,0,0,0,0,0,1,0,12,6,7
Karl Toko Ekambi,FW,Cameroon,1992,166,0,0,0,3,2,1,0,8,1,4
Karol Świderski,FW,Poland,1997,45,0,0,0,0,2,1,0,3,1,1
Kasper Dolberg,FW,Denmark,1997,114,0,0,1,1,0,1,0,3,0,1
Kasper Schmeichel,GK,Denmark,1986,270,0,0,0,0,0,0,0,5,2,0
Keanu Baccus,MF,Australia,1998,114,0,0,0,0,2,1,0,11,1,3
Kellyn Acosta,MF,United States,1995,43,0,0,0,0,0,2,0,2,1,0
Kendall Waston,DF,Costa Rica,1988,225,0,0,0,0,5,4,0,10,4,3
Kenneth Taylor,MF,Netherlands,2002,5,0,0,0,0,0,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,1991,270,0,0,0,18,0,1,0,11,4,0
Kevin Rodríguez,FW,Ecuador,2000,2,0,0,0,0,0,0,0,0,0,0
Kevin Álvarez,DF,Mexico,1999,70,0,0,0,1,1,0,0,4,0,2
Keylor Navas,GK,Costa Rica,1986,270,0,0,0,0,1,0,0,0,0,0
Keysher Fuller,DF,Costa Rica,1994,253,1,0,2,2,3,4,0,11,0,1
Kieffer Moore,FW,Wales,1992,225,0,0,1,0,2,0,0,7,11,6
Kieran Trippier,DF,England,1990,206,0,0,0,10,1,4,0,11,4,1
Kim Jin-su,DF,Korea Republic,1992,315,0,1,1,16,3,5,0,12,10,4
Kim Min-jae,DF,Korea Republic,1996,269,0,0,0,1,2,1,0,14,10,1
Kim Moonhwan,DF,Korea Republic,1995,360,0,0,0,15,4,4,0,16,6,3
Kim Seung-gyu,GK,Korea Republic,1990,360,0,0,0,0,2,0,0,5,0,2
Kim Young-gwon,DF,Korea Republic,1990,350,1,0,0,1,3,2,0,13,6,2
Kingsley Coman,FW,France,1996,169,0,0,0,13,2,2,0,12,2,4
Ko Itakura,DF,Japan,1997,270,0,1,0,0,4,5,0,13,0,2
Koke,MF,Spain,1992,52,0,0,0,0,0,1,0,2,0,0
Kristijan Jakić,FW,Croatia,1997,1,0,0,0,0,0,0,0,0,0,0
Krystian Bielik,MF,Poland,1998,216,0,0,0,0,5,3,1,10,6,4
Krzysztof Piątek,FW,Poland,1995,28,0,0,0,0,0,0,0,1,2,6
Krépin Diatta,FW,Senegal,1999,181,0,0,2,4,0,0,0,11,2,1
Kudus Mohammed,FW,Ghana,2000,247,2,0,1,6,1,4,0,22,0,4
Kwon Chang-hoon,FW,Korea Republic,1994,56,0,0,0,3,0,0,0,3,0,2
Kwon Kyung-won,DF,Korea Republic,1992,91,0,0,0,0,2,0,0,2,2,2
Kye Rowles,DF,Australia,1998,360,0,0,0,0,7,2,0,12,4,2
Kyle Walker,DF,England,1990,236,0,0,0,2,3,1,0,10,4,2
Kylian Mbappé,FW,France,1998,598,8,2,6,25,0,0,0,20,1,4
Lautaro Martínez,FW,Argentina,1997,241,0,0,5,0,1,0,0,13,6,6
Lawrence Ati-Zigi,GK,Ghana,1996,270,0,0,0,0,0,0,0,3,0,0
Leander Dendoncker,DF,Belgium,1995,161,0,0,0,0,0,3,0,6,2,1
Leandro Paredes,MF,Argentina,1994,225,0,0,0,0,3,4,0,19,4,0
Leandro Trossard,FW,Belgium,1994,103,0,0,0,2,0,1,0,7,0,0
Lee Jae-sung,MF,Korea Republic,1992,211,0,0,0,1,3,2,0,7,3,4
Lee Kangin,MF,Korea Republic,2001,147,0,1,0,12,0,3,0,6,0,1
Leon Goretzka,MF,Germany,1995,159,0,0,0,1,1,3,0,12,3,2
Leroy Sané,FW,Germany,1996,111,0,1,0,2,0,1,0,6,1,1
Liam Millar,DF,Canada,1999,10,0,0,0,2,0,0,0,0,0,0
Lionel Messi,FW,Argentina,1987,690,7,3,3,20,0,3,0,22,2,7
Lisandro Martínez,DF,Argentina,1998,303,0,0,0,1,3,2,0,6,3,3
Lovro Majer,MF,Croatia,1998,130,1,0,0,8,0,1,0,10,0,0
Loïs Openda,FW,Belgium,2000,13,0,0,0,1,0,0,0,1,0,1
Lucas Cavallini,FW,Canada,1992,19,0,0,0,1,0,0,0,0,0,1
Lucas Hernández,DF,France,1996,12,0,0,0,1,0,1,0,1,0,0
Lucas Paquetá,MF,Brazil,1997,314,1,1,0,4,2,5,0,13,3,2
Luis Chávez,MF,Mexico,1996,270,1,0,0,19,1,0,0,15,5,5
Luis Suárez,FW,Uruguay,1987,146,0,1,1,0,0,0,0,3,2,4
Luka Jović,FW,Serbia,1997,36,0,0,0,0,1,0,0,0,1,3
Luka Modrić,MF,Croatia,1985,653,0,0,1,33,10,10,0,51,3,4
Lukas Klostermann,DF,Germany,1996,66,0,0,0,0,0,1,0,6,0,0
Luke Shaw,DF,England,1995,424,0,1,0,22,4,1,0,21,3,9
Luuk de Jong,FW,Netherlands,1990,57,0,0,1,0,0,1,0,2,3,3
Majid Hosseini,DF,IR Iran,1996,270,0,0,1,0,6,4,0,22,6,4
Manuel Akanji,DF,Switzerland,1995,360,1,0,0,1,3,2,0,18,9,2
Manuel Neuer,GK,Germany,1986,270,0,0,0,0,0,0,0,4,0,0
Marcelo Brozović,MF,Croatia,1992,552,0,0,0,4,4,7,0,45,6,4
Marco Asensio,FW,Spain,1996,229,1,0,0,8,0,1,0,3,0,2
Marcos Acuña,DF,Argentina,1991,373,0,0,0,17,2,8,0,16,5,7
Marcos Llorente,DF,Spain,1995,120,0,0,0,2,0,0,0,9,0,1
Marcus Rashford,FW,England,1997,140,3,0,1,1,1,0,0,8,1,3
Marcus Thuram,FW,France,1997,151,0,2,1,1,0,2,0,7,8,9
Mario Götze,MF,Germany,1992,36,0,0,0,2,0,0,0,0,0,0
Mario Pašalić,FW,Croatia,1995,271,0,0,2,1,3,5,0,21,7,7
Mark-Anthony Kaye,MF,Canada,1994,59,0,0,0,0,0,1,0,4,0,1
Marko Grujić,MF,Serbia,1996,13,0,0,0,0,0,1,0,2,1,0
Marko Livaja,FW,Croatia,1993,241,1,1,1,1,1,2,0,10,4,5
Marquinhos,DF,Brazil,1994,426,0,0,0,1,2,4,0,28,4,4
Marten de Roon,MF,Netherlands,1991,184,0,0,0,0,2,5,0,8,4,3
Martin Braithwaite,FW,Denmark,1991,103,0,0,2,0,0,0,0,1,1,3
Martin Hongla,MF,Cameroon,1998,121,0,0,1,1,2,0,0,3,1,0
Martinelli,FW,Brazil,2001,113,0,0,1,5,0,1,0,5,0,2
Martín Cáceres,DF,Uruguay,1987,90,0,0,0,0,0,0,0,3,1,0
Mason Mount,MF,England,1999,186,0,0,0,3,0,2,0,7,0,3
Mateo Kovačić,MF,Croatia,1994,635,0,0,0,3,4,17,0,46,4,2
Matheus Nunes,MF,Portugal,1998,73,0,0,0,3,0,0,0,0,0,0
Mathew Leckie,MF,Australia,1991,333,1,1,0,4,1,4,0,15,14,10
Mathew Ryan,GK,Australia,1992,360,0,0,0,0,0,0,0,4,0,0
Mathias Jensen,MF,Denmark,1996,84,0,0,0,2,0,0,0,5,1,0
Mathías Olivera,DF,Uruguay,1997,253,0,0,0,6,2,5,0,15,6,4
Matt Turner,GK,United States,1994,360,0,0,0,0,0,0,0,7,0,0
Matthias Ginter,DF,Germany,1994,1,0,0,0,0,0,0,0,0,0,1
Matthijs de Ligt,DF,Netherlands,1999,91,0,0,0,0,0,0,0,3,5,2
Matty Cash,DF,Poland,1997,360,0,0,0,9,0,3,0,10,2,1
Mattéo Guendouzi,FW,France,1999,78,0,0,0,0,0,1,0,4,1,0
Matías Vecino,MF,Uruguay,1991,195,0,0,0,1,4,3,0,18,3,3
Matías Viña,DF,Uruguay,1997,17,0,0,0,2,0,3,0,1,0,0
Maxi Gómez,FW,Uruguay,1996,30,0,0,0,0,0,0,0,0,2,0
Maya Yoshida,DF,Japan,1988,390,0,1,0,0,3,4,0,30,10,7
Mehdi Taremi,FW,IR Iran,1992,270,2,1,1,0,2,3,0,13,5,7
Mehdi Torabi,MF,IR Iran,1994,62,0,0,0,1,2,0,0,6,0,1
Memphis,FW,Netherlands,1994,297,1,0,1,2,1,1,0,10,2,6
Meshaal Barsham,GK,Qatar,1998,180,0,0,0,0,0,0,0,1,0,1
Michael Estrada,FW,Ecuador,1996,225,0,0,2,0,0,0,0,5,13,14
Michał Skóraś,MF,Poland,2000,45,0,0,0,0,1,0,0,1,1,0
Michel Aebischer,MF,Switzerland,1997,16,0,0,0,0,0,0,0,0,1,0
Michy Batshuayi,FW,Belgium,1993,151,1,0,2,0,0,0,0,4,1,2
Miki Yamane,DF,Japan,1993,61,0,0,0,2,2,0,0,5,0,1
Mikkel Damsgaard,MF,Denmark,2000,150,0,0,1,3,2,2,0,10,0,1
Milad Mohammadi,DF,IR Iran,1993,196,0,0,0,2,1,3,0,11,3,3
Milan Borjan,GK,Canada,1987,270,0,0,0,0,0,0,0,3,0,0
Miloš Degenek,DF,Australia,1994,183,0,0,0,1,1,4,0,15,6,1
Miloš Veljković,DF,Serbia,1995,221,0,0,0,0,0,1,0,12,2,1
Mislav Oršić,FW,Croatia,1992,162,1,2,1,4,0,3,0,4,0,0
Mitchell Duke,FW,Australia,1991,270,1,0,1,1,2,0,0,11,11,12
Mohamed Ali Ben Romdhane,MF,Tunisia,1999,73,0,0,0,1,0,4,0,10,1,0
Mohamed Dräger,DF,Tunisia,1996,132,0,0,0,3,1,3,0,2,1,1
Mohamed Kanno,MF,Saudi Arabia,1994,270,0,0,1,0,2,2,0,19,8,9
Mohammed Al-Breik,DF,Saudi Arabia,1992,65,0,0,0,2,1,0,0,3,1,4
Mohammed Al-Owais,GK,Saudi Arabia,1991,270,0,0,0,0,0,0,0,5,2,0
Mohammed Muntari,FW,Qatar,1993,63,1,0,0,0,0,2,0,4,3,1
Mohammed Salisu,DF,Ghana,1999,270,1,0,0,0,3,1,1,15,8,8
Mohammed Waad,MF,Qatar,1999,28,0,0,0,1,1,0,0,1,0,0
Moisés Caicedo,MF,Ecuador,2001,269,1,0,0,0,2,5,0,14,1,1
Montassar Talbi,DF,Tunisia,1998,270,0,0,0,0,2,2,0,16,8,9
Morteza Pouraliganji,DF,IR Iran,1992,270,0,0,0,2,6,2,0,16,9,6
Moumi Ngamaleu,FW,Cameroon,1994,95,0,0,0,1,0,1,0,5,0,2
Munir,GK,Morocco,1989,90,0,0,0,0,0,0,0,1,0,1
Musab Kheder,DF,Qatar,1993,6,0,0,0,0,0,1,0,0,0,0
Na Sang-ho,FW,Korea Republic,1996,119,0,0,0,8,0,1,0,5,3,3
Nader Ghandri,DF,Tunisia,1995,90,0,0,1,0,1,2,0,2,2,1
Nahuel Molina,DF,Argentina,1998,567,1,1,1,6,3,4,0,23,0,6
Nampalys Mendy,MF,Senegal,1992,272,0,0,0,2,3,4,0,18,0,1
Nasser Al-Dawsari,FW,Saudi Arabia,1998,5,0,0,0,1,0,1,0,1,0,0
Nathan Aké,DF,Netherlands,1995,479,0,0,0,0,8,3,0,21,10,12
Nathaniel Atkinson,DF,Australia,1999,84,0,0,0,0,1,3,0,6,0,0
Nawaf Al Abed,MF,Saudi Arabia,1990,88,0,0,0,2,1,0,0,2,0,1
Nayef Aguerd,DF,Morocco,1996,353,0,0,1,0,4,2,0,18,5,2
Naïm Sliti,MF,Tunisia,1992,114,0,0,2,13,0,1,0,8,1,1
Neco Williams,DF,Wales,2001,204,0,0,0,5,4,3,0,16,2,1
Nemanja Gudelj,MF,Serbia,1991,92,0,0,0,0,2,2,0,6,1,1
Nemanja Maksimović,MF,Serbia,1995,122,0,0,0,2,3,2,0,6,0,3
Nemanja Radonjić,DF,Serbia,1996,60,0,0,0,6,0,0,0,6,0,1
Neymar,MF,Brazil,1992,279,2,0,2,8,1,0,0,11,0,3
Niclas Füllkrug,FW,Germany,1993,69,2,1,0,0,0,0,0,2,4,5
Nico Elvedi,DF,Switzerland,1996,180,0,0,0,0,1,0,0,15,2,3
Nico Schlotterbeck,DF,Germany,1999,94,0,0,0,0,1,3,0,10,2,0
Nico Williams,FW,Spain,2002,146,0,0,1,6,0,2,0,7,1,2
Nicola Zalewski,MF,Poland,2002,65,0,0,0,1,0,0,0,5,0,1
Nicolas Jackson,FW,Senegal,2001,17,0,0,0,0,0,0,0,3,0,2
Nicolas Nkoulou,DF,Cameroon,1990,180,0,1,0,0,5,0,0,11,2,4
Nicolás De La Cruz,MF,Uruguay,1997,38,0,0,0,1,0,0,0,4,0,1
Nicolás Otamendi,DF,Argentina,1988,690,0,1,1,0,9,6,1,39,21,13
Nicolás Tagliafico,DF,Argentina,1992,373,0,0,1,1,9,7,0,12,4,1
Niklas Süle,DF,Germany,1995,269,0,0,0,1,0,4,0,17,6,3
Nikola Milenković,DF,Serbia,1997,270,0,0,0,1,6,5,0,18,6,2
Nikola Vlašić,FW,Croatia,1997,209,0,0,0,4,1,1,0,10,2,6
Noa Lang,MF,Netherlands,1999,8,0,0,0,1,1,0,0,1,0,0
Noah Okafor,FW,Switzerland,2000,45,0,0,1,0,0,0,0,4,0,0
Nouhou Tolo,DF,Cameroon,1997,270,0,0,0,7,6,5,0,17,4,3
Noussair Mazraoui,DF,Morocco,1997,365,0,0,1,2,1,9,0,21,1,3
Nuno Mendes,DF,Portugal,2002,41,0,0,0,2,2,0,0,2,1,0
Néstor Araujo,DF,Mexico,1991,90,0,0,0,2,3,1,0,6,0,0
Olivier Giroud,FW,France,1986,419,4,0,3,0,1,0,0,7,19,13
Olivier Ntcham,MF,Cameroon,1996,25,0,0,0,0,0,0,0,1,0,0
Orbelín Pineda,MF,Mexico,1996,76,0,0,0,0,0,3,0,4,0,2
Osman Bukari,MF,Ghana,1998,59,1,0,0,1,1,0,0,2,1,2
Otávio,MF,Portugal,1995,196,0,0,0,5,1,7,0,16,1,1
Ousmane Dembélé,FW,France,1997,433,0,2,2,19,3,6,1,26,2,1
Pablo Sarabia,FW,Spain,1992,3,0,0,0,3,0,0,0,0,0,0
Paik Seung-ho,MF,Korea Republic,1997,26,1,0,0,0,0,2,0,4,1,0
Pape Abou Cissé,DF,Senegal,1995,105,0,0,0,0,2,0,0,2,2,3
Pape Gueye,MF,Senegal,1999,153,0,0,0,1,2,2,0,5,5,3
Pape Matar Sarr,MF,Senegal,2002,59,0,0,0,5,0,2,0,3,1,0
Papu Gómez,MF,Argentina,1988,107,0,0,1,1,1,0,0,6,1,0
Pathé Ciss,MF,Senegal,1994,146,0,0,0,0,2,3,0,10,5,0
Pau Torres,DF,Spain,1997,90,0,0,0,0,0,0,0,6,1,1
Paulo Dybala,FW,Argentina,1993,18,0,0,0,0,0,1,0,1,3,1
Pedri,MF,Spain,2002,356,0,0,0,2,4,2,0,27,2,0
Pedro,FW,Brazil,1997,64,0,0,0,0,1,2,0,2,0,1
Pepe,DF,Portugal,1983,360,1,0,1,1,6,0,0,28,9,5
Pervis Estupiñán,DF,Ecuador,1998,270,0,0,2,19,3,3,0,21,3,3
Phil Foden,FW,England,2000,258,1,2,0,14,1,1,0,9,3,5
Piero Hincapié,DF,Ecuador,2002,270,0,0,0,1,2,4,1,13,5,3
Pierre Højbjerg,MF,Denmark,1995,270,0,0,0,1,3,2,0,26,1,0
Pierre Kunde,MF,Cameroon,1995,131,0,0,0,4,4,2,0,13,1,0
Piotr Zieliński,MF,Poland,1994,328,1,0,0,16,1,5,0,17,0,2
Przemysław Frankowski,MF,Poland,1995,240,0,0,0,8,3,4,0,12,1,1
Rafael Leão,FW,Portugal,1999,88,2,0,0,6,1,0,0,5,1,0
Raheem Sterling,FW,England,1994,149,1,1,1,2,1,1,0,8,1,1
Ramin Rezaeian,DF,IR Iran,1990,180,1,0,0,11,3,5,0,22,1,6
Randal Kolo Muani,FW,France,1998,182,1,0,0,1,1,5,0,9,9,5
Raphaël Guerreiro,DF,Portugal,1993,279,1,2,0,13,3,2,0,17,2,1
Raphaël Varane,DF,France,1993,518,0,0,1,1,6,0,0,17,4,5
Raphinha,FW,Brazil,1996,315,0,1,0,22,3,6,0,11,0,6
Rasmus Nissen,DF,Denmark,1997,224,0,0,0,7,1,7,0,15,3,1
Raúl Jiménez,FW,Mexico,1991,59,0,0,0,2,1,0,0,2,3,0
Remo Freuler,MF,Switzerland,1992,323,1,0,0,0,3,5,0,19,1,4
Renato Steffen,FW,Switzerland,1991,32,0,0,1,0,0,0,0,5,0,1
Ricardo Horta,FW,Portugal,1994,119,1,0,0,5,1,1,0,6,0,1
Ricardo Rodríguez,DF,Switzerland,1992,359,0,0,0,12,0,2,0,16,10,2
Richarlison,FW,Brazil,1997,323,3,0,1,2,1,2,0,13,4,8
Richie Laryea,DF,Canada,1995,160,0,0,2,1,0,1,0,11,0,1
Riley McGree,FW,Australia,1998,265,0,1,0,5,5,1,0,11,1,2
Ritsu Doan,FW,Japan,1998,217,2,0,0,9,3,5,0,11,1,4
Riyadh Sharahili,MF,Saudi Arabia,1993,54,0,0,0,0,2,0,0,3,1,1
Roan Wilson,MF,Costa Rica,2002,1,0,0,0,0,0,0,0,1,0,0
Robert Lewandowski,FW,Poland,1988,360,2,1,0,3,1,2,0,14,16,17
Robert Skov,DF,Denmark,1996,22,0,0,0,5,0,0,0,2,0,1
Roberto Alvarado,FW,Mexico,1998,18,0,0,0,2,0,0,0,0,1,0
Rodri,DF,Spain,1996,390,0,0,0,2,3,2,0,35,16,5
Rodrigo Bentancur,MF,Uruguay,1997,213,0,0,0,2,7,8,0,35,6,3
Rodrigo De Paul,MF,Argentina,1994,599,0,0,0,12,7,6,0,42,2,3
Rodrygo,MF,Brazil,2001,181,0,1,1,9,2,1,0,11,0,3
Rogelio Funes Mori,FW,Mexico,1991,5,0,0,0,0,0,0,0,0,0,0
Romain Saïss,DF,Morocco,1990,466,1,0,2,1,3,2,0,28,7,0
Romario Ibarra,MF,Ecuador,1994,68,0,0,0,0,1,0,0,3,0,1
Romelu Lukaku,FW,Belgium,1993,55,0,0,0,0,0,0,0,1,1,0
Roozbeh Cheshmi,DF,IR Iran,1993,58,1,0,0,0,2,0,0,4,1,2
Ruben Vargas,FW,Switzerland,1998,285,0,1,1,15,1,0,0,11,3,6
Rubin Colwill,MF,Wales,2002,10,0,0,0,0,0,0,0,1,0,0
Ró-Ró,DF,Qatar,1990,262,0,0,0,3,8,4,0,14,3,2
Rónald Matarrita,DF,Costa Rica,1994,26,0,0,0,3,0,0,0,4,0,0
Rúben Dias,DF,Portugal,1997,360,0,0,0,0,3,4,0,15,5,3
Rúben Neves,MF,Portugal,1997,268,0,0,0,2,3,1,0,12,2,3
Saad Al Sheeb,GK,Qatar,1990,90,0,0,0,0,0,0,1,3,1,0
Sadegh Moharrami,DF,IR Iran,1996,90,0,0,0,3,1,1,0,6,1,2
Saeid Ezatolahi,MF,IR Iran,1996,217,0,0,0,4,2,1,0,17,6,4
Saleh Al-Shehri,FW,Saudi Arabia,1993,223,1,0,0,1,0,1,0,7,6,7
Salem Al-Dawsari,MF,Saudi Arabia,1991,270,2,0,0,3,1,4,0,16,1,1
Salis Abdul Samed,MF,Ghana,2000,250,0,0,0,2,4,2,0,15,0,3
Salman Al-Faraj,MF,Saudi Arabia,1989,44,0,0,0,1,0,0,0,1,0,0
Sam Adekugbe,DF,Canada,1995,95,0,0,0,5,1,0,0,3,2,0
Saman Ghoddos,MF,IR Iran,1993,45,0,0,0,2,0,0,0,1,0,1
Sami Al-Najei,MF,Saudi Arabia,1997,45,0,0,0,5,0,0,0,2,0,1
Samuel Oum Gouet,MF,Cameroon,1997,100,0,0,0,1,0,1,0,10,1,0
Sardar Azmoun,FW,IR Iran,1995,126,0,0,1,0,0,0,0,3,4,5
Saud Abdulhamid,DF,Saudi Arabia,1999,270,0,0,0,9,2,2,1,14,4,6
Saša Lukić,MF,Serbia,1996,245,0,0,0,1,1,0,0,19,3,3
Sebastian Szymański,MF,Poland,1999,134,0,0,0,3,2,3,0,6,1,5
Sebastián Coates,DF,Uruguay,1990,180,0,0,0,0,1,0,0,9,7,0
Selim Amallah,MF,Morocco,1996,409,0,0,0,2,8,9,0,12,2,9
Serge Gnabry,FW,Germany,1995,263,1,1,3,7,2,2,0,11,0,2
Sergej Milinković-Savić,MF,Serbia,1995,233,1,0,0,1,2,1,0,18,3,3
Sergio Busquets,MF,Spain,1988,363,0,0,0,0,1,4,0,28,8,5
Sergio Rochet,GK,Uruguay,1993,270,0,0,0,0,0,0,1,2,1,0
Sergiño Dest,DF,United States,2000,305,0,1,0,9,2,2,0,13,1,3
Shaquell Moore,DF,United States,1996,22,0,0,0,0,0,2,0,2,1,0
Shogo Taniguchi,DF,Japan,1991,210,0,0,0,0,1,0,0,8,8,3
Shūichi Gonda,GK,Japan,1989,390,0,0,0,0,0,0,1,1,1,0
Silvan Widmer,DF,Switzerland,1993,265,0,1,0,2,2,6,0,13,3,1
Simon Kjær,DF,Denmark,1989,64,0,0,0,0,5,0,0,6,3,1
Sofiane Boufal,FW,Morocco,1993,475,0,0,2,7,2,5,0,20,3,7
Sofyan Amrabat,MF,Morocco,1996,660,0,0,1,2,6,10,0,57,2,3
Son Heung-min,FW,Korea Republic,1992,360,0,1,2,21,2,2,0,16,0,2
Son Jun-ho,MF,Korea Republic,1992,72,0,0,0,0,3,3,0,9,0,1
Sorba Thomas,MF,Wales,1999,1,0,0,0,1,0,1,0,1,0,0
Srđan Babić,DF,Serbia,1996,13,0,0,0,0,0,0,0,1,0,0
Stefan Mitrović,DF,Serbia,1990,35,0,0,0,0,0,0,0,1,0,2
Stephen Eustáquio,MF,Canada,1996,125,0,0,0,1,2,2,0,10,1,1
Steve Mandanda,GK,France,1985,90,0,0,0,0,0,0,0,1,0,0
Steven Berghuis,MF,Netherlands,1991,200,0,1,0,13,0,1,0,8,1,2
Steven Bergwijn,FW,Netherlands,1997,213,0,0,0,0,0,1,0,4,0,0
Steven Vitória,DF,Canada,1987,270,0,0,0,0,0,3,0,18,4,2
Strahinja Pavlović,DF,Serbia,2001,235,1,0,0,1,1,2,0,18,12,2
Sultan Al-Ghanam,DF,Saudi Arabia,1994,126,0,0,1,7,2,0,0,4,0,0
Taha Yassine Khenissi,FW,Tunisia,1992,29,0,0,0,0,0,0,0,0,1,2
Tajon Buchanan,MF,Canada,1999,260,0,1,2,8,3,1,0,14,1,2
Takefusa Kubo,FW,Japan,2001,90,0,0,1,0,0,1,0,4,1,1
Takehiro Tomiyasu,DF,Japan,1998,187,0,0,0,0,0,0,0,12,6,4
Takuma Asano,FW,Japan,1994,165,1,0,2,1,1,0,0,8,1,9
Takumi Minamino,FW,Japan,1995,60,0,0,0,3,0,1,0,4,0,2
Tarek Salman,DF,Qatar,1997,8,0,0,0,1,1,0,0,1,0,0
Tariq Lamptey,DF,Ghana,2000,102,0,0,0,3,1,1,0,8,0,1
Teun Koopmeiners,MF,Netherlands,1998,219,0,1,0,2,4,5,0,12,4,3
Theo Hernández,DF,France,1997,508,1,2,0,13,4,13,1,30,8,4
Thiago Almada,MF,Argentina,2001,7,0,0,0,0,0,0,0,0,0,0
Thiago Silva,DF,Brazil,1984,390,0,1,0,1,5,1,0,17,6,4
Thibaut Courtois,GK,Belgium,1992,270,0,0,0,0,0,0,0,2,0,0
Thilo Kehrer,DF,Germany,1996,69,0,0,0,0,3,2,0,3,0,0
Thomas Delaney,MF,Denmark,1991,44,0,0,0,1,0,1,0,2,2,1
Thomas Meunier,DF,Belgium,1991,211,0,0,0,6,2,6,0,13,2,3
Thomas Müller,FW,Germany,1989,201,0,0,2,5,1,2,0,1,1,7
Thomas Partey,MF,Ghana,1993,270,0,0,0,1,0,5,0,21,6,3
Thorgan Hazard,FW,Belgium,1993,106,0,0,1,9,0,2,0,6,0,3
Tim Ream,DF,United States,1987,360,0,0,0,0,4,3,0,19,6,8
Timothy Castagne,DF,Belgium,1995,270,0,0,0,3,2,4,0,9,2,3
Timothy Weah,FW,United States,2000,316,1,0,2,8,0,0,0,10,2,3
Toby Alderweireld,DF,Belgium,1989,270,0,1,0,2,0,2,0,9,1,2
Trent Alexander-Arnold,DF,England,1998,34,0,0,0,0,0,0,0,1,0,0
Tyler Adams,MF,United States,1999,360,0,0,0,2,4,9,0,33,5,2
Unai Simón,GK,Spain,1997,390,0,0,0,0,0,0,0,11,2,0
Uriel Antuna,FW,Mexico,1997,77,0,0,2,7,0,3,0,1,0,2
Vanja Milinković-Savić,GK,Serbia,1997,270,0,0,0,0,1,0,0,5,1,0
Victor Nelsson,DF,Denmark,1998,90,0,0,0,0,2,0,0,3,4,3
Vincent Aboubakar,FW,Cameroon,1992,142,2,1,0,0,0,0,0,3,2,3
Vincent Janssen,FW,Netherlands,1994,86,0,0,0,0,0,0,0,2,1,1
Vinicius Júnior,FW,Brazil,2000,299,1,2,3,12,0,1,0,12,0,0
Virgil van Dijk,DF,Netherlands,1991,480,0,0,0,0,4,1,0,31,13,8
Vitinha,MF,Portugal,2000,120,0,0,0,2,1,2,0,4,0,1
Wahbi Khazri,FW,Tunisia,1991,83,1,0,2,2,0,0,0,5,0,0
Wajdi Kechrida,DF,Tunisia,1995,111,0,0,0,5,0,3,0,6,1,2
Walid Cheddira,FW,Morocco,1998,64,0,0,2,0,0,0,0,0,2,2
Walker Zimmerman,DF,United States,1993,279,0,0,0,0,4,2,1,17,8,5
Wataru Endo,MF,Japan,1993,304,0,0,0,2,3,4,0,22,8,8
Wayne Hennessey,GK,Wales,1987,175,0,0,0,0,0,0,0,0,1,0
Weston McKennie,MF,United States,1998,271,0,0,0,1,0,1,0,14,3,3
William Carvalho,MF,Portugal,1992,215,0,0,0,0,0,5,0,15,4,0
William Saliba,DF,France,2001,28,0,0,0,0,0,0,0,3,0,0
Wojciech Szczęsny,GK,Poland,1990,360,0,0,0,0,0,0,1,4,2,0
Wout Weghorst,FW,Netherlands,1992,64,2,0,1,0,0,0,0,2,2,2
Wéverton,GK,Brazil,1987,11,0,0,0,0,0,0,0,0,0,0
Xavi Simons,FW,Netherlands,2003,9,0,0,0,0,0,0,0,0,1,0
Xherdan Shaqiri,FW,Switzerland,1991,229,1,1,0,15,0,0,0,6,1,4
Yahya Attiat Allah,DF,Morocco,1995,318,0,1,0,8,0,2,0,21,0,7
Yahya Jabrane,MF,Morocco,1991,15,0,0,0,0,0,0,0,0,0,0
